2017 02 07
2017 02 06	1700 1800	Interactive           Omos          Development	
2017 02 06	1600 1630	Lifestyle             Nest          Maintenance                                      Organized Shelves
2017 02 05	2125 2145	Audio                 Volyne        Composition                     Nocoria
2017 02 04	2320 2355	Audio                 Volyne        Composition                     Nocoria
2017 02 04	2120 2150	Audio                 Volyne        Composition                     Nocoria
2017 02 03	1845 2115	Audio                 Volyne        Composition                     Nocoria
2017 02 03	1630 1645	Audio                 Volyne        Composition                     Nocoria
2017 02 02	2130 2204	Audio                 Volyne        Design                          Nocoria Cover
2017 02 02	2020 2120	Audio                 Volyne        Composition                     Nocoria
2017 02 01	2235 2250	Illustration          Lensse        Illustration
2017 02 01	2215 2235	Illustration          Lensse        Illustration                    Suminagashi V2
2017 02 01	1720 1810	Audio                 Volyne        Composition                     Nocoria
2017 01 31	1750 1855	Audio                 Volyne        Composition                     Nocoria
2017 01 31	1200 1500	Illustration          Sketchbook    Illustration
2017 01 31	0830 0940	Illustration          Sketchbook    Illustration
2017 01 30	1450 1530	Illustration          Sketchbook    Illustration
2017 01 29	1615 1710	Illustration          Sketchbook    Illustration
2017 01 28	1530 1820	Illustration          Channel       Illustration                    Cell
2017 01 27	2110 2115	Photography           Los Angeles   Photography                     2017 01 27
2017 01 27	1920 2110	Illustration          Daily         Illustration                    2017 01 27
2017 01 26
2017 01 25
2017 01 24	1730 1845	Design                Branding      Design                          Sonicode
2017 01 23	1935 2030	Illustration          Daily         Illustration                    2017 01 23
2017 01 23	1820 1905	Design                Branding      Design                          Sonar
2017 01 22	1540 1630	Illustration          Daily         Illustration                    2017 01 22
2017 01 22	1300 1325	Design                Branding      Design                          Tenel
2017 01 21	1620 1700	Illustration          Daily         Illustration                    2017 01 21
2017 01 20
2017 01 19	1340 1500	Illustration          Lensse        Illustration                    Suminagashi
2017 01 19	1200 1326	Illustration          Daily         Illustration                    2017 01 19
2017 01 18	1700 1930	Illustration          Channel       Illustration                    Tsunami
2017 01 18	1530 1600	Audio                 Volyne        Composition                     Nocoria
2017 01 17	2030 2100	Artwork               Daily         Illustration                    2017 01 17
2017 01 17	1730 1830	Audio                 Volyne        Composition                     Nocoria
2017 01 16
2017 01 15	1700 1900	Illustration          Sketchbook    Illustration
2017 01 14
2017 01 13	1730 1900	Lifestyle             Nest          Maintenance                                      Organized Desk
2017 01 12	2130 2200	Artwork               Daily         Illustration                    2017 01 12
2017 01 11	2000 2140	Artwork               Daily         Illustration                    2017 01 11
2017 01 10	0830 0900	Artwork               Daily         Illustration                    2017 01 10
2017 01 09	2130 2230	Artwork               Daily         Illustration                    2017 01 09
2017 01 08	2100 2130	Audio                 Volyne        Composition                     Nocoria
2017 01 07	2100 2150	Artwork               Daily         Illustration                    2017 01 07
2017 01 06	1030 1150	Illustration          Lensse        Illustration                    Xerrox
2017 01 05	1130 1200	Design                Branding      Design                          Tollen
2017 01 04	1930 2030	Artwork               Daily         Illustration                    2017 01 04
2017 01 03	1930 2030	Artwork               Daily         Illustration                    2017 01 03
2017 01 03	1000 1030	Propaganda            Methlab       Design
2017 01 02	0830 0900	Branding              Tumblr        Design
2017 01 01	2300 2330	Illustration          Daily         Illustration                    2016 01 01
2017 01 01	1800 1830	Research              Horaire       Development
2017 01 01	1700 1730	Photography           Iceland       Photography                     Day 1            Re-edited Day 1 Photos
2017 01 01	0830 0900	Illustration          Lensse        Development
2017 01 01	0000 0010	Research              Horaire       Creation
